CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-08-25 11:28:52.621000-07:00,2023-08-25 11:31:22.878000-07:00,USAGE,SCHEMA,TEST2,FEM_DEV,TEST2,ROLE,FEM_ADMIN,False,SYSADMIN,2023-08-25 11:31:22.878000-07:00,ROLE
2023-08-31 08:00:14.455000-07:00,2023-08-31 08:00:14.455000-07:00,CREATE MASKING POLICY,SCHEMA,PUBLIC,DATA,PUBLIC,ROLE,MASKING_ADMIN,False,SYSADMIN,,ROLE
2023-08-31 08:00:14.856000-07:00,2023-08-31 08:00:14.856000-07:00,CREATE VIEW,SCHEMA,INTERNAL,DATA,INTERNAL,ROLE,MASKING_ADMIN,False,SYSADMIN,,ROLE
2023-08-25 10:52:30.900000-07:00,2023-08-25 10:52:30.900000-07:00,CREATE STAGE,SCHEMA,PUBLIC,CRIMSON_DEV,PUBLIC,ROLE,CRIMSON_ADMIN,False,SYSADMIN,,ROLE
2023-08-31 08:00:14.955000-07:00,2023-08-31 08:00:14.955000-07:00,CREATE PROCEDURE,SCHEMA,TEST,DATA,TEST,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-31 08:00:14.858000-07:00,2023-08-31 08:00:14.858000-07:00,USAGE,SCHEMA,INTERNAL,DATA,INTERNAL,ROLE,MASKING_ADMIN,False,SYSADMIN,,ROLE
2023-08-31 08:00:12.731000-07:00,2023-08-31 08:00:12.731000-07:00,CREATE SEQUENCE,SCHEMA,PUBLIC,DATA,PUBLIC,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-31 08:00:14.965000-07:00,2023-08-31 08:00:14.965000-07:00,USAGE,SCHEMA,TEST,DATA,TEST,ROLE,MASKING_ADMIN,False,SYSADMIN,,ROLE
2023-08-25 10:03:16.450000-07:00,2023-08-25 10:03:16.450000-07:00,USAGE,SCHEMA,PUBLIC,ADMINISTRATIVE,PUBLIC,ROLE,ADMINISTRATIVE_READONLY,False,SYSADMIN,,ROLE
2023-08-31 08:00:13.875000-07:00,2023-08-31 08:00:13.875000-07:00,CREATE STAGE,SCHEMA,PUBLIC,DATA,PUBLIC,ROLE,DATA_ADMIN,False,SYSADMIN,,ROLE
2023-08-31 08:00:14.961000-07:00,2023-08-31 08:00:14.961000-07:00,CREATE TEMPORARY TABLE,SCHEMA,TEST,DATA,TEST,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-31 08:00:14.960000-07:00,2023-08-31 08:00:14.960000-07:00,CREATE TABLE,SCHEMA,TEST,DATA,TEST,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-31 08:00:14.840000-07:00,2023-08-31 08:00:14.840000-07:00,OWNERSHIP,SCHEMA,INTERNAL,DATA,INTERNAL,ROLE,SYSADMIN,True,SYSADMIN,,ROLE
2023-08-31 08:00:13.447000-07:00,2023-08-31 08:00:13.447000-07:00,USAGE,SCHEMA,PUBLIC,DATA,PUBLIC,ROLE,DATA_ADMIN,False,SYSADMIN,,ROLE
2023-08-31 08:00:14.954000-07:00,2023-08-31 08:00:14.954000-07:00,CREATE MATERIALIZED VIEW,SCHEMA,TEST,DATA,TEST,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-31 08:00:15.053000-07:00,2023-08-31 08:00:15.053000-07:00,USAGE,SCHEMA,SCHEMA2,DATA,SCHEMA2,ROLE,MASKING_ADMIN,False,SYSADMIN,,ROLE
2023-08-31 08:00:10.957000-07:00,2023-08-31 08:00:10.957000-07:00,USAGE,SCHEMA,PUBLIC,DATA,PUBLIC,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
