CREATED_ON,DELETED_ON,NAME,COMMENT,OWNER,ROLE_TYPE,ROLE_DATABASE_NAME
2023-07-31 09:13:15.711000-07:00,,ALL_IUF_WORKGROUPS_STG_READONLY,,USERADMIN,ROLE,
2023-07-28 12:27:10.776000-07:00,,ALL_IUF_SYSTEMS_EDITOR,,USERADMIN,ROLE,
2023-07-28 14:25:55.818000-07:00,,WORKGROUP_B_STG_READONLY,,USERADMIN,ROLE,
2023-07-31 09:56:38.485000-07:00,,SMART_RECRUITER_STG_EDITOR,,USERADMIN,ROLE,
2023-07-28 12:27:16.609000-07:00,,FEM_READONLY,,USERADMIN,ROLE,
2023-07-31 09:12:47.479000-07:00,,ALL_WORKGROUPS_DEV_READONLY,,USERADMIN,ROLE,
2023-07-31 09:13:15.244000-07:00,,ALL_IUF_WORKGROUPS_STG_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:56:40.248000-07:00,,SMART_RECRUITER_DEV_EDITOR,,USERADMIN,ROLE,
2023-07-28 12:27:24.041000-07:00,,WORKGROUP_A_READONLY,,USERADMIN,ROLE,
2023-07-28 10:04:38.289000-07:00,2023-07-28 12:27:08.316000-07:00,ALL_INTERNAL_REPORTS_EDITOR,,,ROLE,
2023-07-27 13:50:54.675000-07:00,2023-07-28 09:50:38.741000-07:00,CRIMSON_ADMIN,,,ROLE,
2023-07-27 13:49:34.242000-07:00,2023-07-28 07:50:06.505000-07:00,WORKGROUP_B_READONLY,,,ROLE,
2023-07-28 07:55:05.296000-07:00,2023-07-28 12:27:11.275000-07:00,ALL_IUF_SYSTEMS_READONLY,,,ROLE,
2023-07-27 13:51:43.197000-07:00,2023-07-28 08:03:02.447000-07:00,SMART_RECRUITER_STG,,,ROLE,
2023-07-27 13:04:44.962000-07:00,2023-07-28 08:02:46.074000-07:00,EXTERNAL_REPORTS_STG,,,ROLE,
2023-07-27 13:49:59.391000-07:00,2023-07-28 07:49:59.081000-07:00,WORKGROUP_C_DEV_EDITOR,,,ROLE,
2023-07-27 12:29:30.034000-07:00,2023-07-27 12:37:44.531000-07:00,FEM_ADMIN,,,ROLE,
2023-07-28 10:16:58.868000-07:00,2023-07-28 12:27:13.041000-07:00,ALL_IUF_WORKGROUPS_READONLY,,,ROLE,
2023-07-27 13:49:21.415000-07:00,2023-07-28 12:27:22.781000-07:00,WORKGROUP_A_EDITOR,,,ROLE,
2023-07-27 13:51:56.728000-07:00,2023-07-28 08:02:59.492000-07:00,SMART_RECRUITER_DEV,,,ROLE,
2023-07-27 12:12:34.466000-07:00,2023-07-27 13:42:15.261000-07:00,WORK_GROUP_C_STG_READONLY,,,ROLE,
2023-07-27 10:30:36.299000-07:00,,SYSADMIN,System administrator can create and manage databases and warehouses.,,ROLE,
2023-07-27 12:12:36.109000-07:00,2023-07-27 13:42:12.397000-07:00,WORK_GROUP_C_DEV_READONLY,,,ROLE,
2023-07-27 13:51:17.175000-07:00,2023-07-28 08:02:38.622000-07:00,DAYFORCE_DEV_ADMIN,,,ROLE,
2023-07-27 12:29:29.452000-07:00,2023-07-27 12:38:03.116000-07:00,FEM_EDITOR,,,ROLE,
2023-07-27 13:51:45.090000-07:00,2023-07-28 08:03:04.911000-07:00,SMART_RECRUITER_STG_READONLY,,,ROLE,
2023-07-28 12:42:49.636000-07:00,2023-07-31 10:02:00.994000-07:00,PYTHONRUN,,,ROLE,
2023-07-27 12:51:12.807000-07:00,2023-07-28 08:02:52.848000-07:00,INTERNAL_REPORTS_DEV,Enterprise IUF Wide Reports,,ROLE,
2023-07-27 11:42:13.836000-07:00,2023-07-28 12:27:19.382000-07:00,PRODUCTION,,,ROLE,
2023-07-27 12:12:32.725000-07:00,2023-07-27 13:42:13.671000-07:00,WORK_GROUP_C_READONLY,,,ROLE,
2023-07-27 13:47:11.392000-07:00,2023-07-28 07:48:04.521000-07:00,FEM_DEV_ADMIN,,,ROLE,
2023-07-27 13:43:02.561000-07:00,2023-07-28 07:48:20.104000-07:00,IUF_INTERNAL_REPORTS_DEV_EDITOR,,,ROLE,
2023-07-28 12:27:09.542000-07:00,,ALL_IUF_HR_SYSTEMS_EDITOR,,USERADMIN,ROLE,
2023-07-27 13:49:23.658000-07:00,2023-07-28 08:03:09.748000-07:00,WORKGROUP_A_STG,,,ROLE,
2023-07-27 13:49:57.882000-07:00,2023-07-28 07:50:02.301000-07:00,WORKGROUP_C_STG_EDITOR,,,ROLE,
2023-07-27 13:49:22.864000-07:00,2023-07-28 09:46:28.545000-07:00,WORKGROUP_A_EDITOR,,,ROLE,
2023-07-27 12:29:32.601000-07:00,2023-07-27 12:38:18.618000-07:00,FEM_STG_EDITOR,,,ROLE,
2023-07-27 13:49:35.759000-07:00,2023-07-28 07:51:14.826000-07:00,WORKGROUP_B_STG,,,ROLE,
2023-07-31 09:13:16.728000-07:00,,ALL_IUF_SYSTEMS_DEV_READONLY,,USERADMIN,ROLE,
2023-07-31 09:12:50.306000-07:00,,ALL_EXTERNAL_REPORTS_DEV_EDITOR,,USERADMIN,ROLE,
2023-07-28 14:25:42.304000-07:00,,WORKGROUP_A_STG_READONLY,,USERADMIN,ROLE,
2023-07-31 09:12:47.978000-07:00,,ALL_WORKGROUPS_EDITOR,,USERADMIN,ROLE,
2023-07-28 12:27:22.781000-07:00,,WORKGROUP_A_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:13:20.903000-07:00,,ALL_IUF_HR_SYSTEMS_STG_EDITOR,,USERADMIN,ROLE,
2023-07-28 14:25:42.452000-07:00,,WORKGROUP_A_STG_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:13:02.400000-07:00,,ALL_EXTERNAL_WORKGROUPS_DEV_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:13:24.179000-07:00,,ALL_NONIUF_SYSTEMS_EDITOR,,USERADMIN,ROLE,
2023-07-28 12:27:20.621000-07:00,,SMART_RECRUITER_READONLY,,USERADMIN,ROLE,
2023-07-31 09:12:46.023000-07:00,,ALL_SYSTEMS_STG_EDITOR,,USERADMIN,ROLE,
2023-07-28 14:11:32.361000-07:00,,FEM_DEV_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:13:24.605000-07:00,,ALL_NONIUF_SYSTEMS_READONLY,,USERADMIN,ROLE,
2023-07-31 10:01:50.551000-07:00,,WORKGROUP_C_STG_EDITOR,,USERADMIN,ROLE,
2023-07-27 13:48:05.401000-07:00,2023-07-28 08:02:54.832000-07:00,IUF_EXTERNAL_REPORTS_DEV,,,ROLE,
